patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Cô Duyên Trần,528144375850,26/06/1954,0867915300,johnvu@example.com,"338 Bà Thành Dương, 895667",Tiểu đường,5.15,Quý cô Thành Vũ,31/01/2026
562b0f79-c374-49ee-b50b-ea63371ecd7b,Anh Dũng Dương,196263148674,27/08/1948,0713738881,eduong@example.com,"18 Thành Bùi JohnPhường, 338968",Tiểu đường,6.9,Vũ Phạm,18/06/2026
7412b293-4729-4739-a14f-f3d719db3ad0,Kim Hữu Đặng,726003632059,03/01/1964,0568637460,jane52@example.com,"64 Tùng Đặng xã, 380746",Khỏe mạnh,9.56,Lâm Hoàng,20/06/2026
a7cad415-366e-416f-908e-bad7b7c93acf,Quý ôPhương Phú Trần,675670905117,18/07/1971,0818995107,etran@example.org,"6 Bảo Mai Đặng, 214975",Khỏe mạnh,11.68,Chị Hải Bùi,26/04/2026
988c24c9-61b1-4d22-a280-1c4510435a10,Quý ông Nhiên Dương,642840379972,31/01/1951,0365732603,lejane@example.com,"4 Trọng Thế Vũ, 665579",Tiểu đường,7.26,Duyên Đặng,05/04/2026
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Cô Phương Trần,999963674928,10/04/1968,0767611424,john12@example.net,"Chị Bảo Trần
89 Chị Bảo Trần, 847581",Huyết áp cao,11.34,Thành Đặng,27/03/2026
1efa2197-7394-488f-847f-d9b4e64d1bcb,Quý cô Hà Hoàng,172883381287,10/05/1938,0924144184,jane75@example.org,"105 Nhật Hữu Phạm, 238739",Tiểu đường,9.96,Anh Châu Bùi,06/02/2026
6e595ed3-a8b3-47fa-98d0-752b1825bc54,Ông Trọng Nguyễn,379005950791,12/11/1942,0836647994,jane24@example.net,"338 Chị Nhật Hoàng, 179046",Khỏe mạnh,4.38,Ông Hưng Mai,12/06/2026
ed2662e9-17e0-41b7-b810-238303c72ba8,Khoa Lê,624344563416,02/01/2001,0887811249,zhoang@example.org,"74 Chi Dương, 161324",Tiểu đường,9.9,Yến Đặng,12/01/2026
80bacd64-7a0e-4fea-958c-a9ba0cd620c2,Anh Trọng Bùi,562875440956,13/10/1960,0818171181,jhoang@example.org,"939 Phương Mai, 802258",Khỏe mạnh,6.25,Quang Đức Bùi,26/01/2026
750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,Nhật Phạm,418591657975,06/02/1949,0873060937,dangjohn@example.com,"354 Kim Quang Bùi, 377312",Tim mạch,10.63,Hà Mai,31/01/2026
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,Trung Đức Mai,943546281915,25/12/2001,0946386202,johnpham@example.org,"427 Mai ĐườMai Hoàng, 137778",Khỏe mạnh,8.46,Nhiên Trí Bùi,25/01/2026
e623a689-5d59-4d2a-8eea-04e70ab54bde,Ông Dũng Lê,596489292521,31/01/1964,0353527357,maijane@example.com,"2 Ông Tùng Phạm, 872343",Tim mạch,10.09,Huy Hải Vũ,31/01/2026
61ee411a-1bac-47a7-b386-f7a4c991603f,Bà Bảo Mai,560479325641,07/10/1965,0723078007,john15@example.com,"036 Trung Bùi, 634150",Khỏe mạnh,11.45,Hải Tấn Nguyễn,23/01/2026
2db69edb-42de-4fcc-b86c-2ca2e08596db,Quý cô Hải Trần,851747552278,21/08/1994,0744156855,john89@example.com,"06 Thành Xuân Hoàng, 446239",Huyết áp cao,6.33,Tú Thế Mai,02/03/2026
6703b636-5380-4904-a88c-7015aab97e49,Phương Phú Hoàng,094935216976,08/08/1961,0563958364,janetran@example.org,"80 Anh Tùng Mai, 563246",Khỏe mạnh,9.37,Anh Minh Dương,04/06/2026
bc67f831-cbc8-4759-b5b7-8cc7e6b3c944,Phương Hữu Hoàng,821760404314,10/02/1981,0791283016,nguyenjane@example.org,"037 Linh Bùi, 355836",Tim mạch,11.77,Cô Hà Bùi,12/02/2026
b227462c-f53d-4330-8dda-24ba2d06e8cf,ÔChị Vân Mai,485029112780,04/01/1952,0842063160,maijane@example.com,"98 Kim Bảo Lê JaneHuyện, 888295",Tim mạch,10.62,Bà Vi Mai,05/04/2026
709b7d97-464c-44af-bd3f-3799a07295e9,Quý cô Nhật Dương,994802068828,29/05/1967,0823581716,jane34@example.com,"23 Anh Dũng Lê, 165290",Huyết áp cao,8.14,Quý cô Hồng Hoàng,16/05/2026
c3fe0183-e172-4725-9b52-ca5805000bc6,Bảo Dương,846407139196,19/02/1976,0595020591,nguyenjane@example.net,"34 Hưng Nguyễn, 812131",Tiểu đường,3.76,Nhật Xuân Dương,28/06/2026
88bc539c-9f4c-4b79-bb10-987f20ac3703,Thảo Mai,006192370927,08/03/1939,0383486298,lejohn@example.net,"53 ĐặChâu Hải Nguyễn, 364525",Tim mạch,4.04,Nhật Nguyễn,26/05/2026
f3b1025b-fff9-4585-8d55-7b618a175dfe,Anh Tấn Phạm,683845087504,19/09/1939,0893813384,lejohn@example.org,"19 Trung Thế Phạm, 736745",Tim mạch,5.56,Bảo Vũ,21/01/2026
4fdc6e1b-edcb-4cb6-8692-dc639424aed5,Thảo Đặng,255457502748,18/07/1968,0557105500,johnle@example.com,"Cô An Vũ, 554582",Tiểu đường,6.91,Bảo Trí Bùi,04/02/2026
a6846099-f729-4951-8591-31d2bbda0242,Nhật Mai,369284251121,18/04/2001,0542635787,cdang@example.org,"473 Phương Quang Hoàng, 992288",Tim mạch,8.97,Phúc Mai Bảo Phạm,10/03/2026
4797b2c9-5720-4246-8223-623bcc3ebdde,Châu Thị Trần,034051970075,21/10/2005,0843572625,johnle@example.net,"7 Dương ĐườBà Nhật Mai, 825391",Tim mạch,7.58,Bà Dương Hoàng,13/03/2026
58007c02-87ea-4ff5-8db0-674679279973,Vũ Bùi,792802027362,31/03/1997,0753465188,jdang@example.org,"823 Thành Phạm, 410636",Huyết áp cao,10.12,Bà Lan Vũ,03/01/2026
4639447b-2067-4dac-88bd-13d1b540b30e,Lâm Văn Bùi,054413269292,03/04/1975,0542602261,mtran@example.com,"75 Ông Nhiên Mai, 520172",Huyết áp cao,5.64,Ông Nhiên Nguyễn,30/01/2026
f2f9e5fa-9016-4161-8fa7-01cd2631d00b,Quý ông Minh Dương,218100142605,13/08/1951,0902339184,hoangjohn@example.org,"74 Vũ ĐườAnh Châu Dương, 792509",Tim mạch,3.62,Bảo Phạm,03/02/2026
00af5b3a-2812-459a-9337-739e8d4f5d27,Tùng Quang Trần,321790226328,08/12/1939,0789143828,zpham@example.org,"3 Khoa Hoàng, 335729",Huyết áp cao,4.59,Bà Bảo Trần,12/01/2026
9854ce4e-4ebf-45c3-8ae9-b4a72a79ea68,Anh Trí Lê,018598015580,14/04/1999,0990294456,tranjohn@example.com,"0 Bảo Dương JohnPhường, 976566",Tim mạch,8.87,Vi Vũ,22/04/2026
2cd94cbb-c19a-458c-835b-1c8c0a4c9f7f,Quý ôAnh Phúc Dương,442788551014,25/10/1994,0350723336,jane08@example.org,"1 Quý cô Hà Nguyễn, 519904",Khỏe mạnh,3.56,Chi Trần,03/03/2026
f85e06a1-1dad-49b2-92c2-1221409d3602,Xuân Đặng,477466537990,14/05/1998,0590189648,jane56@example.com,"7 Yến Dương, 608257",Khỏe mạnh,4.28,An Hoàng,05/06/2026
4f8d5238-288b-48b5-b5b4-53ca3d42993c,Thành Đặng,581972832568,06/03/1948,0926923137,john48@example.net,"48 Lâm Đức Hoàng, 678043",Tim mạch,9.74,Quý cô Lâm Hoàng,09/04/2026
dd30de89-22f2-45f2-a11b-868dbf0d073d,Bảo Mai,284985284430,01/10/1981,0937337438,janetran@example.com,"787 Thành Trí Dương, 831380",Huyết áp cao,11.79,Quý cô Mai Bùi,09/01/2026
b489d070-7914-48a8-bea4-ff31517400f8,Quang Tấn Dương,463150553601,13/07/1940,0972251866,dangjane@example.net,"262 Quý ông Hoàng Dương, 184216",Tiểu đường,10.15,Tùng Hữu Đặng,02/05/2026
7cea2045-c268-483e-a32f-2e63b7fddd71,Quý cô Mai Đặng,543972007789,12/06/1967,0985843656,jane03@example.com,"24 Bác Nam Lê, 551607",Huyết áp cao,9.79,Chị Phương Bùi,20/04/2026
2b840c67-2e18-4554-8ae2-8e66ae8a7813,Quý cô Chi Hoàng,382083957648,08/04/1968,0852220471,janenguyen@example.org,"40 Cô Thảo Dương JaneXã, 413685",Huyết áp cao,4.32,Nhật Đức Dương,14/06/2026
627b41a1-ffd6-4232-b2ff-e2944d57d880,Tú Nguyễn,672619061541,06/05/1984,0560358471,jane54@example.net,"7 Chị Ánh Trần, 892280",Huyết áp cao,9.74,Cô Hải Nguyễn,01/03/2026
945ef2e4-088a-43ec-b0d9-c9f8c9e26074,Trọng Trí Mai,369690114369,17/12/1979,0734100833,john54@example.com,"8 Quý ông Tùng Trần, 455168",Tiểu đường,6.19,Nhật Trần,28/01/2026
dc322c97-39c1-4262-b76c-8edec1101266,Xuân Bùi,809144509227,12/03/1989,0518498528,johnduong@example.com,"6 Lan Hoàng, 688678",Khỏe mạnh,7.03,Trọng Hải Trần,04/05/2026
